KEY	sensEnto	resitEnto	sensDauno	resDauno	relSoraf	diagSoraf	sensEnto1	sensDauno1	resSoraf1	resEnto1	resDauno1	diagSoraf1
ENSG00000179428.2	0	0	2	52	0	0	0	28	0	0	207	0
ENSG00000179447.2	0	0	0	0	0	0	1	0	0	0	4	0
ENSG00000179452.2	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000179523.4	165	90	162	1657	0	414	117	923	1	106	1734	414
ENSG00000179600.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179676.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179743.2	159	73	111	1320	375	475	140	495	885	97	720	475
ENSG00000179818.9	6288	2816	3762	16346	1813	3133	4395	17149	4157	3489	17099	3133
ENSG00000179859.7	510	299	74	311	0	0	359	275	0	426	300	0
ENSG00000179935.5	9	2	0	2	0	0	7	0	0	1	5	0
ENSG00000180081.9	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000180139.10	10	13	0	418	0	292	12	6	344	26	140	292
ENSG00000180279.5	7	0	0	10	0	0	3	0	0	3	6	0
ENSG00000180422.3	22	7	4	18	0	10	19	11	0	6	14	10
ENSG00000180458.2	3	0	0	12	0	0	1	2	0	0	18	0
ENSG00000180712.3	2	1	0	0	0	30	4	0	30	0	0	30
ENSG00000180769.4	30	12	4	182	0	12	8	19	0	16	228	12
ENSG00000180846.4	7	8	0	4	0	0	10	4	0	1	1	0
ENSG00000180910.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181097.5	33	12	3	14	0	17	19	16	30	13	37	17
ENSG00000181123.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181171.5	0	0	22	65	0	0	0	18	34	0	18	0
ENSG00000181211.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181798.2	27	17	13	211	27	45	30	21	91	26	141	45
ENSG00000181800.5	21	8	0	22	0	891	13	20	1063	16	31	891
ENSG00000181995.7	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000182021.5	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000182057.4	8	3	14	63	0	0	7	61	0	4	39	0
ENSG00000182109.3	94	69	3	27	186	22	76	11	54	88	9	22
ENSG00000182165.13	39	2	0	1514	0	155	21	29	267	3	817	155
ENSG00000182310.8	43	20	28	116	0	0	24	40	0	21	68	0
ENSG00000182366.5	0	0	0	10	0	0	0	2	9	0	4	0
ENSG00000182376.2	8	6	0	0	0	32	5	2	0	6	3	32
ENSG00000182404.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182586.3	0	0	0	1	0	0	1	15	0	0	40	0
ENSG00000182648.7	80	50	124	1207	0	41	63	469	2	51	1090	41
ENSG00000182873.4	26	6	20	148	22	29	13	37	83	16	96	29
ENSG00000183242.7	330	267	85	625	0	781	203	542	1448	331	663	781
ENSG00000183308.6	184	57	47	278	214	279	136	335	445	96	326	279
ENSG00000183385.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183535.5	5	0	0	0	0	0	1	6	0	0	0	0
ENSG00000183674.7	2	1	0	12	0	0	0	0	0	0	2	0
ENSG00000183822.2	268	191	0	3	0	0	228	1	0	247	0	0
ENSG00000184068.2	325	145	107	1258	0	0	270	633	1	156	904	0
ENSG00000184115.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184274.3	1	2	0	0	0	0	2	0	0	4	0	0
ENSG00000184324.11	0	0	3	20	0	0	0	12	0	0	46	0
ENSG00000184441.4	379	177	47	280	0	0	268	378	0	244	265	0
ENSG00000184586.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184856.6	0	0	2	20	0	0	0	3	0	0	25	0
ENSG00000184991.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185044.10	1	0	75	601	0	22	0	460	111	3	578	22
ENSG00000185065.6	12	3	30	332	0	0	9	250	0	3	266	0
ENSG00000185168.5	26	6	4	31	0	0	11	14	0	13	46	0
ENSG00000185186.4	0	0	0	3	0	0	1	0	0	1	0	0
ENSG00000185203.7	0	0	0	0	0	0	0	0	0	0	20	0
ENSG00000185433.4	3	15	0	0	0	0	4	0	0	24	0	0
ENSG00000185495.6	6	1	7	88	67	97	2	25	103	3	37	97
ENSG00000185700.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185837.3	4	1	0	0	0	0	3	0	0	1	0	0
ENSG00000185847.3	0	0	0	2	0	0	0	0	0	0	2	0
ENSG00000185904.7	0	0	16	178	0	0	0	293	0	0	436	0
ENSG00000186019.10	1258	457	33	319	0	0	888	175	0	693	271	0
ENSG00000186056.5	80	28	55	422	74	72	65	294	224	42	528	72
ENSG00000186148.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186369.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186526.8	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000186530.13	7	6	0	0	0	21	7	0	142	4	4	21
ENSG00000186594.8	18	9	82	1697	0	312	18	332	0	18	693	312
ENSG00000186615.6	76	37	62	391	0	121	52	291	0	65	423	121
ENSG00000186842.4	0	0	2	0	0	0	1	1	0	1	9	0
ENSG00000187008.2	10	3	1	23	0	97	2	9	0	3	16	97
ENSG00000187012.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187156.4	0	0	501	3553	0	2	0	3554	0	0	4524	2
ENSG00000187229.3	0	0	0	0	0	17	0	0	14	0	0	17
ENSG00000187621.10	0	0	0	42	0	17	0	8	0	0	83	17
ENSG00000187904.3	0	0	0	0	0	13	0	1	38	1	4	13
ENSG00000187979.4	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000188070.8	435	139	184	1295	0	418	294	969	1028	226	1028	418
ENSG00000188185.7	86	41	15	2	2	98	83	17	161	69	91	98
ENSG00000188206.5	9177	3293	3721	11789	7873	9346	6501	16961	13845	4522	14400	9346
ENSG00000188338.10	0	0	0	167	0	0	0	10	1	0	28	0
ENSG00000188365.3	0	3	1	7	0	89	1	2	155	3	2	89
ENSG00000188424.5	0	0	0	2	0	0	0	0	0	1	5	0
ENSG00000188477.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188525.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188585.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188660.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188693.7	3	4	10	55	0	26	7	69	62	6	89	26
ENSG00000188825.9	77	48	11	199	0	1	65	50	0	70	141	1
ENSG00000188971.4	1648	505	264	2235	1245	2195	1177	1544	2923	697	2248	2195
ENSG00000189149.7	12	4	12	14	0	76	11	30	1	5	59	76
ENSG00000189196.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189223.9	0	0	242	1566	1454	33	2	1771	3395	0	2105	33
ENSG00000189229.10	0	0	149	1096	8	0	0	689	0	0	869	0
ENSG00000189238.4	0	0	0	3	0	4	0	0	0	0	5	4
ENSG00000189295.9	0	0	2	9	0	0	0	8	0	0	10	0
ENSG00000189316.3	0	0	0	4	0	121	0	0	63	0	0	121
ENSG00000189419.5	32	18	2	2	0	26	17	1	0	38	2	26
ENSG00000196096.3	0	0	0	0	0	2	0	0	0	0	0	2
ENSG00000196243.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196273.3	0	0	0	1	0	0	0	0	0	0	6	0
ENSG00000196295.7	484	197	97	522	0	3229	355	514	6135	282	574	3229
ENSG00000196364.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196421.3	26	21	4	21	0	0	10	41	0	25	30	0
ENSG00000196553.9	0	1	0	4	0	19	1	2	0	1	1	19
ENSG00000196559.3	2	2	0	6	0	104	4	5	222	2	13	104
ENSG00000196566.2	0	0	0	0	0	3	0	0	1	0	0	3
ENSG00000196589.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196634.3	0	0	0	55	0	2	0	3	4	0	85	2
ENSG00000196668.3	16	3	10	32	0	36	4	3	139	2	7	36
ENSG00000196696.8	128	79	31	108	0	719	104	112	0	122	74	719
ENSG00000196756.7	438	328	405	1991	0	0	340	1796	1	365	1712	0
ENSG00000196810.4	715	407	322	1154	0	601	451	2232	1082	533	2346	601
ENSG00000196893.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196951.6	34	13	6	72	0	93	19	36	95	18	95	93
ENSG00000196960.3	0	0	0	0	0	184	0	0	405	0	0	184
ENSG00000196972.6	3	1	6	8	0	0	2	5	0	3	4	0
ENSG00000197085.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197099.4	3	3	0	6	0	7	1	0	19	2	44	7
ENSG00000197176.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197210.7	0	0	0	2	0	0	1	1	0	0	0	0
ENSG00000197251.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197291.4	0	0	0	2	0	0	1	0	0	1	0	0
ENSG00000197308.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197332.7	1	0	32	161	0	0	0	90	0	0	123	0
ENSG00000197462.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197463.8	0	0	16	98	0	0	0	17	0	0	33	0
ENSG00000197503.4	14	21	0	0	0	2	16	0	8	19	0	2
ENSG00000197558.7	138	40	7	21	0	201	106	21	62	63	4	201
ENSG00000197585.5	0	0	0	8	0	0	0	0	0	0	1	0
ENSG00000197644.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197670.5	31	12	5	9	0	0	18	18	0	13	10	0
ENSG00000197813.4	916	321	19	140	0	0	704	69	1	382	112	0
ENSG00000197934.4	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000197989.9	584	382	203	1199	1617	1027	449	919	2347	553	563	1027
ENSG00000198106.7	42	19	0	10	0	297	34	8	1	17	8	297
ENSG00000198221.7	2	0	2	77	0	0	0	10	0	1	109	0
ENSG00000198358.4	0	0	0	2	2	0	0	0	0	0	4	0
ENSG00000198468.3	91	34	96	560	62	40	71	235	206	27	224	40
ENSG00000198491.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198547.4	2	4	18	150	0	0	7	64	0	2	124	0
ENSG00000198671.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203258.3	0	0	0	0	0	0	0	3	0	0	0	0
ENSG00000203266.2	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000203279.3	2	1	9	60	0	14	0	80	33	0	56	14
ENSG00000203280.3	0	0	0	2	0	0	1	2	0	0	0	0
ENSG00000203288.3	41	16	4	204	0	15	34	33	39	18	152	15
ENSG00000203307.2	3	1	0	7	2	3	1	0	2	1	0	3
ENSG00000203321.2	3	0	2	8	0	39	1	3	99	2	4	39
ENSG00000203325.3	1	1	0	0	35	38	1	1	79	0	3	38
ENSG00000203327.2	4	0	0	0	16	39	1	0	27	1	3	39
ENSG00000203335.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203356.2	0	0	0	2	2	2	0	4	8	0	5	2
ENSG00000203362.2	11	2	15	91	0	17	16	55	21	6	102	17
ENSG00000203364.2	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000203372.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203386.2	0	0	0	9	0	0	0	1	0	0	22	0
